Start Time: 2024-12-25 11:12:55.845534 | End Time: 2024-12-25 11:12:55.845537 | Operation: backup | Status Code: Success | Message: File Python projesi.pdf successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\ğ\Python projesi.pdf. | Status: Success | User: ğ | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\ğ\Python projesi.pdf | Data Size: 167340 bytes
Start Time: 2024-12-25 15:35:59.727105 | End Time: 2024-12-25 15:35:59.727107 | Operation: backup | Status Code: Success | Message: File asdf.txt successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\c\asdf.txt. | Status: Success | User: c | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\c\asdf.txt | Data Size: 0 bytes
Start Time: 2024-12-27 02:10:48.616165 | End Time: 2024-12-27 02:10:48.616168 | Operation: backup | Status Code: Success | Message: File sss.txt successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\v\sss.txt. | Status: Success | User: v | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\v\sss.txt | Data Size: 0 bytes
Start Time: 2024-12-27 20:11:07.402038 | End Time: 2024-12-27 20:11:07.402043 | Operation: backup | Status Code: Success | Message: File YAZILIM GELİŞTİRME I - PROJE II.pdf successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\v\YAZILIM GELİŞTİRME I - PROJE II.pdf. | Status: Success | User: v | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\v\YAZILIM GELİŞTİRME I - PROJE II.pdf | Data Size: 85867 bytes
Start Time: 2024-12-27 20:11:16.814319 | End Time: 2024-12-27 20:11:16.814325 | Operation: backup | Status Code: Success | Message: File SQL Homework.pdf successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\v\SQL Homework.pdf. | Status: Success | User: v | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\v\SQL Homework.pdf | Data Size: 26026 bytes
Start Time: 2024-12-27 20:11:26.630905 | End Time: 2024-12-27 20:11:26.630912 | Operation: backup | Status Code: Success | Message: File sss.txt successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\v\sss.txt. | Status: Success | User: v | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\v\sss.txt | Data Size: 0 bytes
Start Time: 2024-12-27 20:18:10.697032 | End Time: 2024-12-27 20:18:10.697037 | Operation: backup | Status Code: Success | Message: File Module-Unit-Testing.docx successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\v\Module-Unit-Testing.docx. | Status: Success | User: v | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\v\Module-Unit-Testing.docx | Data Size: 51588 bytes
Start Time: 2024-12-27 20:18:44.793151 | End Time: 2024-12-27 20:18:44.793157 | Operation: backup | Status Code: Success | Message: File asdf.txt successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\ğ\asdf.txt. | Status: Success | User: ğ | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\ğ\asdf.txt | Data Size: 0 bytes
Start Time: 2024-12-27 20:18:52.093712 | End Time: 2024-12-27 20:18:52.093717 | Operation: backup | Status Code: Success | Message: File uygulama raporu dyt.docx successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\ğ\uygulama raporu dyt.docx. | Status: Success | User: ğ | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\ğ\uygulama raporu dyt.docx | Data Size: 20641 bytes
Start Time: 2024-12-27 20:18:58.385120 | End Time: 2024-12-27 20:18:58.385129 | Operation: backup | Status Code: Success | Message: File Position_Salaries.csv successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\ğ\Position_Salaries.csv. | Status: Success | User: ğ | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\ğ\Position_Salaries.csv | Data Size: 246 bytes
Start Time: 2024-12-27 20:22:01.567651 | End Time: 2024-12-27 20:22:01.567657 | Operation: backup | Status Code: Success | Message: File asdf.txt successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\t\asdf.txt. | Status: Success | User: t | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\t\asdf.txt | Data Size: 0 bytes
